age,d18O
-0.030,-35.16
-0.010,-35.82
0.010,-35.11
0.030,-34.65
0.050,-34.53
0.070,-35.29
0.090,-35.02
0.110,-35.02
0.130,-35.78
0.150,-35.16
0.170,-35.61
0.190,-35.12
0.210,-35.79
0.230,-35.82
0.250,-35.36
0.270,-36.05
0.290,-35.39
0.310,-36.14
0.330,-35.33
0.350,-35.35
0.370,-35.72
0.390,-35.03
0.410,-35.61
0.430,-35.82
0.450,-34.93
0.470,-35.07
0.490,-35.87
0.510,-35.13
0.530,-34.98
0.550,-35.05
0.570,-35.53
0.590,-34.86
0.610,-35.25
0.630,-36.43
0.650,-35.07
0.670,-35.20
0.690,-35.49
0.710,-35.67
0.730,-35.40
0.750,-35.15
0.770,-35.80
0.790,-35.34
0.810,-35.62
0.830,-35.37
0.850,-35.59
0.870,-35.14
0.890,-35.45
0.910,-35.61
0.930,-35.92
0.950,-34.96
0.970,-35.24
0.990,-35.02
1.010,-35.00
1.030,-34.98
1.050,-35.41
1.070,-35.73
1.090,-35.35
1.110,-35.75
1.130,-35.45
1.150,-35.34
1.170,-35.38
1.190,-35.27
1.210,-35.15
1.230,-35.33
1.250,-35.33
1.270,-35.27
1.290,-35.14
1.310,-34.69
1.330,-35.44
1.350,-35.26
1.370,-35.14
1.390,-35.28
1.410,-34.43
1.430,-35.78
1.450,-35.33
1.470,-35.83
1.490,-35.39
1.510,-35.35
1.530,-35.74
1.550,-34.46
1.570,-34.64
1.590,-35.27
1.610,-35.86
1.630,-35.49
1.650,-35.27
1.670,-35.80
1.690,-34.93
1.710,-35.55
1.730,-35.90
1.750,-35.44
1.770,-35.47
1.790,-35.37
1.810,-35.04
1.830,-35.39
1.850,-34.49
1.870,-35.07
1.890,-34.43
1.910,-34.71
1.930,-35.10
1.950,-35.32
1.970,-35.11
1.990,-34.79
2.010,-35.35
2.030,-34.95
2.050,-34.89
2.070,-35.07
2.090,-35.46
2.110,-35.18
2.130,-36.07
2.150,-35.76
2.170,-35.20
2.190,-35.26
2.210,-34.84
2.230,-34.57
2.250,-34.81
2.270,-35.11
2.290,-34.94
2.310,-35.09
2.330,-35.26
2.350,-35.08
2.370,-34.68
2.390,-34.86
2.410,-35.32
2.430,-35.88
2.450,-35.48
2.470,-35.71
2.490,-34.83
2.510,-35.24
2.530,-34.84
2.550,-35.43
2.570,-35.06
2.590,-35.41
2.610,-35.14
2.630,-35.14
2.650,-35.43
2.670,-35.32
2.690,-35.12
2.710,-35.10
2.730,-34.83
2.750,-34.91
2.770,-34.99
2.790,-34.92
2.810,-34.63
2.830,-35.49
2.850,-35.20
2.870,-34.98
2.890,-34.81
2.910,-34.38
2.930,-34.81
2.950,-34.85
2.970,-34.79
2.990,-35.45
3.010,-35.14
3.030,-34.94
3.050,-35.14
3.070,-34.97
3.090,-34.87
3.110,-35.04
3.130,-35.26
3.150,-34.54
3.170,-35.25
3.190,-35.28
3.210,-34.76
3.230,-35.54
3.250,-35.25
3.270,-35.24
3.290,-34.89
3.310,-34.29
3.330,-34.98
3.350,-35.42
3.370,-34.66
3.390,-34.80
3.410,-34.67
3.430,-35.19
3.450,-35.28
3.470,-34.75
3.490,-35.10
3.510,-35.42
3.530,-34.77
3.550,-34.63
3.570,-35.09
3.590,-35.18
3.610,-34.93
3.630,-34.28
3.650,-34.71
3.670,-34.68
3.690,-34.41
3.710,-34.65
3.730,-35.36
3.750,-35.27
3.770,-34.78
3.790,-35.01
3.810,-35.17
3.830,-35.36
3.850,-34.90
3.870,-35.34
3.890,-35.16
3.910,-34.85
3.930,-35.12
3.950,-34.96
3.970,-35.14
3.990,-34.41
4.010,-35.20
4.030,-34.74
4.050,-35.53
4.070,-35.14
4.090,-34.87
4.110,-35.20
4.130,-34.72
4.150,-34.76
4.170,-34.50
4.190,-34.78
4.210,-35.01
4.230,-35.26
4.250,-34.92
4.270,-34.63
4.290,-34.79
4.310,-34.75
4.330,-35.00
4.350,-35.47
4.370,-35.20
4.390,-34.76
4.410,-34.06
4.430,-34.80
4.450,-35.15
4.470,-34.83
4.490,-35.27
4.510,-34.83
4.530,-34.21
4.550,-34.57
4.570,-34.51
4.590,-35.05
4.610,-34.69
4.630,-35.21
4.650,-35.02
4.670,-34.71
4.690,-34.79
4.710,-35.09
4.730,-34.54
4.750,-34.82
4.770,-34.66
4.790,-34.93
4.810,-34.42
4.830,-34.89
4.850,-34.79
4.870,-34.65
4.890,-34.55
4.910,-34.57
4.930,-34.08
4.950,-34.92
4.970,-34.79
4.990,-34.53
5.010,-34.80
5.030,-34.63
5.050,-34.84
5.070,-34.64
5.090,-35.11
5.110,-34.73
5.130,-35.05
5.150,-33.85
5.170,-34.63
5.190,-34.90
5.210,-34.74
5.230,-34.56
5.250,-35.27
5.270,-35.03
5.290,-34.77
5.310,-35.39
5.330,-34.96
5.350,-34.78
5.370,-35.10
5.390,-34.35
5.410,-34.81
5.430,-34.91
5.450,-34.47
5.470,-34.53
5.490,-34.70
5.510,-34.36
5.530,-34.22
5.550,-35.06
5.570,-34.78
5.590,-35.19
5.610,-33.88
5.630,-35.20
5.650,-35.18
5.670,-34.51
5.690,-35.25
5.710,-34.69
5.730,-34.71
5.750,-34.55
5.770,-34.50
5.790,-34.71
5.810,-35.02
5.830,-34.71
5.850,-33.95
5.870,-34.20
5.890,-34.61
5.910,-34.91
5.930,-34.73
5.950,-34.85
5.970,-35.03
5.990,-34.77
6.010,-34.78
6.030,-35.49
6.050,-34.27
6.070,-35.17
6.090,-34.71
6.110,-34.39
6.130,-34.42
6.150,-34.89
6.170,-34.89
6.190,-34.58
6.210,-34.60
6.230,-35.13
6.250,-34.38
6.270,-35.20
6.290,-34.55
6.310,-34.60
