age,d18Oice,d18Oc,Mg_Ca ,Fe_Ca,Mn_Ca
0,0,2.56,1.58,0.056,0.016
0.475,0.009,2.57,1.595,0.071,0.028
2.203,0.043,2.39,1.676,0.063,0.025
3.456,0.067,2.54,1.59,0.082,0.03
4.709,0.092,2.33,1.63,0.095,0.039
7.215,0.14,2.59,1.588,0.111,0.036
8.154,0.151,2.39,1.723,0.099,0.049
8.468,0.154,2.51,1.772,0.108,0.052
8.781,0.173,2.39,1.682,0.117,0.056
9.094,0.191,2.4,1.691,0.1,0.04
9.407,0.213,2.49,1.747,0.105,0.054
9.721,0.241,2.42,1.722,0.116,0.063
10.347,0.282,2.49,1.677,0.141,0.068
10.556,0.296,2.62,1.649,0.109,0.065
10.764,0.309,2.52,1.664,0.092,0.047
10.973,0.323,2.38,1.635,0.111,0.044
11.077,0.33,2.57,1.674,0.112,0.064
11.181,0.348,2.48,1.661,0.154,0.069
11.286,0.369,2.61,1.606,0.139,0.042
11.39,0.389,2.72,1.631,0.133,0.046
11.494,0.409,2.56,1.676,0.169,0.052
11.599,0.428,2.52,1.683,0.136,0.049
11.728,0.436,2.52,1.626,0.14,0.045
11.9,0.45,3.25,1.21,0.098,0.044
12.171,0.462,3.4,1.182,0.106,0.029
12.206,0.465,3.31,1.277,0.12,0.038
12.224,0.466,3.45,1.254,0.109,0.029
12.241,0.467,3.45,1.121,0.097,0.025
12.259,0.468,3.39,1.158,0.135,0.042
12.294,0.47,3.52,1.11,0.104,0.036
12.312,0.471,3.42,1.154,0.111,0.042
12.329,0.472,3.55,1.189,0.102,0.044
12.347,0.473,3.49,1.334,0.104,0.151
12.558,0.485,3.42,1.249,0.098,0.044
12.576,0.486,3.43,1.215,0.076,0.035
12.594,0.487,3.38,1.184,0.099,0.04
12.611,0.488,3.47,1.152,0.078,0.032
12.629,0.489,3.42,1.218,0.081,0.038
12.646,0.49,3.48,1.062,0.082,0.041
12.717,0.495,3.51,1.064,0.089,0.046
12.734,0.496,3.57,1.124,0.072,0.052
12.77,0.498,3.25,1.149,0.089,0.048
12.822,0.501,3.17,1.518,0.089,0.044
13,0.511,3.08,1.427,0.095,0.048
13.16,0.521,3.18,1.349,0.096,0.053
13.532,0.545,3.08,1.485,0.084,0.042
13.607,0.55,3.08,1.415,0.094,0.052
13.904,0.602,3.28,1.482,0.082,0.04
14.277,0.722,3.04,1.577,0.083,0.042
14.739,0.76,3.13,1.393,0.093,0.053
14.778,0.761,3.12,1.311,0.09,0.053
14.858,0.763,3.31,1.092,0.122,0.056
14.937,0.766,3.17,1.151,0.067,0.036
14.977,0.767,3.07,1.286,0.125,0.088
15.096,0.77,2.91,1.192,0.108,0.07
15.216,0.773,3.06,1.246,0.096,0.063
15.236,0.774,2.94,1.263,0.096,0.067
15.375,0.777,2.85,1.254,0.086,0.061
15.812,0.789,3.31,1.17,0.093,0.061
16.17,0.799,3.44,1.21,0.1,0.074
16.389,0.805,3.88,1.357,0.505,0.076
16.647,0.812,4.2,1.116,0.1,0.087
17.124,0.825,4.52,1.067,0.077,0.066
17.164,0.826,4.59,1.012,0.073,0.061
17.184,0.826,4.55,0.97,0.12,0.073
17.223,0.827,4.54,0.985,0.095,0.076
17.263,0.828,4.68,1.037,0.12,0.051
17.303,0.83,4.55,0.993,0.1,0.057
17.422,0.833,4.42,1.063,0.088,0.077
17.542,0.836,4.59,1.099,0.121,0.062
17.581,0.837,4.54,1.13,0.101,0.047
17.601,0.838,4.65,1.104,0.102,0.052
17.621,0.838,4.62,1.12,0.094,0.04
17.641,0.839,4.6,1.175,0.094,0.042
18.451,0.863,4.6,1.28,0.097,0.053
18.637,0.87,4.59,1.224,0.09,0.053
18.823,0.877,4.74,1.177,0.099,0.056
18.847,0.877,4.52,1.151,0.079,0.036
19.009,0.921,4.84,1.164,0.083,0.066
19.195,0.926,4.45,1.404,0.097,0.254
19.381,0.932,4.46,1.301,0.09,0.211
19.544,0.936,4.55,1.185,0.098,0.077
19.753,0.943,4.61,1.158,0.091,0.062
19.777,0.943,4.71,1.161,0.086,0.047
19.8,0.944,4.64,1.207,0.076,0.052
