depth,age,nps
10,548.5,45
20,1259.25,38
30,1970,34
40,2896.4,41
50,3822.8,28
60,4749.2,22
70,5675.6,26
80,6602,18
90,7385.6458333333,26
100,8169.2916666667,34
120,9736.5833333333,55
128,10363.5,30
160,11367.0409836066,32
164,11492.4836065574,26
168,11617.9262295082,25
172,11743.368852459,16
176,11868.8114754098,21
180,11994.2540983607,17
184,12119.6967213115,61
186,12182.4180327869,54
188,12245.1393442623,74
189,12276.5,67
189.5,12291.3035714286,78
190.5,12320.9107142857,88
192,12365.3214285714,89
192,12365.3214285714,91
194,12424.5357142857,88
194,12424.5357142857,88
201,12631.7857142857,93
202,12661.3928571429,88
203,12691,
204,12728.696969697,51
206,12804.0909090909,30
208,12879.4848484848,22
210,12954.8787878788,40
212,13030.2727272727,18
216,13181.0606060606,19
220,13331.8484848485,18
224,13482.6363636364,28
228,13633.4242424242,40
232,13784.2121212121,53
233,13821.9090909091,48
234,13859.6060606061,44
235,13897.303030303,56
236,13935,53
240,14029.2,47
244,14123.4,33
248,14217.6,17
252,14311.8,20
256,14406,31
260,14378.7586206897,28
264,14351.5172413793,46
268,14324.275862069,42
272,14297.0344827586,33
276,14269.7931034483,33
280,14242.5517241379,29
284,14215.3103448276,6
285,14208.5,7
288,14272.6883116883,43
292,14358.2727272727,15
296,14443.8571428571,11
300,14529.4415584416,10
304,14615.025974026,8
308,14700.6103896104,16
312,14786.1948051948,13
316,14871.7792207792,10
320,14957.3636363636,5
324,15042.9480519481,7
328,15128.5324675325,6
336,15299.7012987013,30
344,15470.8701298701,63
352,15642.038961039,84
356,15727.6233766234,95
357,15749.0194805195,100
358,15770.4155844156,90
359,15791.8116883117,95
360,15813.2077922078,85
361,15834.6038961039,66
362,15856,71
363,15896.0625,56
370,16176.5,88
376,16416.875,74
382,16657.25,77
386,16817.5,
388,16928.6111111111,92
394,17261.9444444444,88
400,17595.2777777778,88
404,17817.5,
440,18856.5,90
470,20532.5,87
